vendor_name,category,name,unit,price_cents,in_stock,product_code
CD Fish S.r.l.,Seafood,135 Seppia Pulita 1/2,Unit,980,true,
CD Fish S.r.l.,Seafood,252 Salmone Sockey 5/8,Unit,1870,true,
CD Fish S.r.l.,Seafood,487 Salmone Sockey 4/6,Unit,1870,true,
CD Fish S.r.l.,Seafood,438 Filetto Salmone Sockey,Unit,1870,true,
CD Fish S.r.l.,Seafood,737 Filetto Salmone Norvegia,Unit,13,true,
CD Fish S.r.l.,Seafood,353 Fil. Merluzzo 1000/+ VISIR,Unit,1270,true,
CD Fish S.r.l.,Seafood,353 Fil. Merluzzo 2000+ VISIR,Unit,1350,true,
CD Fish S.r.l.,Seafood,717 Filetto Salmone Argentato,Unit,1500,true,
CD Fish S.r.l.,Seafood,616 Soaso 500/1000 Congelato,Unit,2000,true,
CD Fish S.r.l.,Seafood,616 Soaso 800/1200 Congelato,Unit,2250,true,
CD Fish S.r.l.,Seafood,616 Soaso 1000/2000 Congelato,Unit,2480,true,
CD Fish S.r.l.,Seafood,258 Gamberi Arg. L1,Unit,1000,true,
CD Fish S.r.l.,Seafood,IVA ESCLUSA  259 Gamberi Arg. L2,Unit,900,true,
CD Fish S.r.l.,Seafood,142 Mazzancolla 20/30,Unit,750,true,
CD Fish S.r.l.,Seafood,151 Mazzancolla 30/40,Unit,680,true,
CD Fish S.r.l.,Seafood,294 Calamari U/10 Indopacific.,Unit,1250,true,
CD Fish S.r.l.,Seafood,288 Calamari U/5 Indopacifi.,Unit,1570,true,
CD Fish S.r.l.,Seafood,208 Calamari C4L,Unit,680,true,
CD Fish S.r.l.,Seafood,727 Tentacoli Totano Tagliati Cotti,Unit,1050,true,
CD Fish S.r.l.,Seafood,646 Tentacolo Totano  L,Unit,750,true,
CD Fish S.r.l.,Seafood,533 Polpetti 60 UP,Unit,750,true,
CD Fish S.r.l.,Seafood,144 Polpetti 40/60,Unit,740,true,
CD Fish S.r.l.,Seafood,138 Polpo 1000/2000,Unit,930,true,
