vendor_name,category,name,unit,price_cents,in_stock,product_code
General Beverage Distributor,Beverage,"01066 ACQUA EGERIA LT VAR X 12 LISCI A 1,00 CES 12 4,20",Unit,35,true,
General Beverage Distributor,Beverage,"01008 ACQUA LAURETANA NAT.1*12 VAR 1,00 CES 12 6,45",Unit,54,true,
General Beverage Distributor,Beverage,"01030 ACQUA NEPI LITRO *12 VAR EFF.NAT 1,00 CES 12 5,25",Unit,44,true,
General Beverage Distributor,Beverage,"01037 ACQUA S. BENEDETTO  LITRO *12 VAR  NAT. 1,00 CES 12 5,25",Unit,44,true,
General Beverage Distributor,Beverage,"01108 ACQUA TULLIA  LT 1*12 VAR LEGG .FRIZ.UNICA 1,00 CES 12 5,10",g,43,true,
General Beverage Distributor,Beverage,"01107 ACQUA TULLIA  LT 1*12 VAR NAT UNICA 1,00 CES 12 5,10",Unit,43,true,
General Beverage Distributor,Beverage,"01144 ACQUA NEPI CL 65X16 VAR EFFERV .NAT. 0,65 CES 16 10,95",Unit,68,true,
General Beverage Distributor,Beverage,"01079 ACQUA S. BENEDETTO MILLENIUM C L 65*16 VAR 0,65 CES 16 10,20",Unit,64,true,
General Beverage Distributor,Beverage,"01122 ACQUA S. BENED. LATTINA FRIZZA  NTE CL33X24 0,33 CRT 24 9,23",Case,38,true,
General Beverage Distributor,Beverage,"01121 ACQUA S. BENED. LATTINA NAT.CL  . 33 X 24 0,33 CRT 24 9,23",Case,38,true,
General Beverage Distributor,Beverage,"03009 APEROL SODA CL. 12,5 X 48 0,13 CRT 48 49,50",Case,103,true,
General Beverage Distributor,Beverage,"03000 CAMPARI SODA CC 10 X 100 0,10 CRT 100 99,00",Case,99,true,
General Beverage Distributor,Beverage,"03021 CRODINO ""XL"" GIALLO CL17,5*24 0,18 CRT 24 25,50",Case,106,true,
General Beverage Distributor,Beverage,"03020 CRODINO ""XL"" ROSSO CL 17,5*24 0,18 CRT 24 25,50",Case,106,true,
General Beverage Distributor,Beverage,"03007 CRODINO 48/10 CL 0,10 CRT 48 29,48",Case,61,true,
General Beverage Distributor,Beverage,"03010 SANBITTER BIANCO CL.10*48 0,10 CRT 48 30,75",0.7L Unit,64,true,
General Beverage Distributor,Beverage,"03008 SANBITTER ROSSO VAP CL.10*48 0,10 CRT 48 30,75",0.7L Unit,64,true,
General Beverage Distributor,Beverage,"04091 CHINOTTO NERI CL.20*24 0,20 CRT 24 16,13",Case,67,true,
General Beverage Distributor,Beverage,"04163 COCA COLA VETRO CL.20*24 VAP 0,20 CRT 24 19,50",Case,81,true,
General Beverage Distributor,Beverage,"04257 FEVER TREE ELDEFLOWER ML200*24 0,20 CRT 24 26,25",ml,109,true,
General Beverage Distributor,Beverage,"04236 FEVER TREE GINGER  BEER  ML200*24 0,20 CRT 24 26,25",ml,109,true,
General Beverage Distributor,Beverage,"04318 FEVER TREE LEMON TONIC  ML 200*24 0,20 CRT 24 26,25",ml,109,true,
General Beverage Distributor,Beverage,"04233 FEVER TREE MEDITERRANEO  ML200*24 0,20 CRT 24 26,25",ml,109,true,
General Beverage Distributor,Beverage,"04316 FEVER TREE POMPELMO ROSA  ML 200*24 0,20 CRT 24 26,25",ml,109,true,
General Beverage Distributor,Beverage,"04251 FEVER TREE TONIC INDIAN PREMIU  M ML200*24 0,20 CRT 24 26,25",ml,109,true,
General Beverage Distributor,Beverage,"04218 GALVANINA SPRITZ ANALCOLICO CL 20*24 0,20 CRT 24 20,93",Case,87,true,
General Beverage Distributor,Beverage,"04296 GALVANINA TONICA BITTER LEMON  CL 20X24 0,20 CRT 24 20,93",Case,87,true,
General Beverage Distributor,Beverage,"04206 GALVANINA TONICA CLASSICA CL 20*24 0,20 CRT 24 20,93",Case,87,true,
General Beverage Distributor,Beverage,"04327 GALVANINA TONICA GINGER ALE CL 20*24 0,20 CRT 24 20,93",Case,87,true,
General Beverage Distributor,Beverage,"04208 GALVANINA TONICA GINGER BEER CL 20*24 0,20 CRT 24 20,93",Case,87,true,
General Beverage Distributor,Beverage,"04211 GALVANINA TONICA ITALIANA CL 20*24 0,20 CRT 24 20,93",Case,87,true,
General Beverage Distributor,Beverage,"04210 GALVANINA TONICA MANDAR. VERDE CL 20*24 0,20 CRT 24 20,93",Case,87,true,
General Beverage Distributor,Beverage,"04294 GALVANINA TONICA MEDITERRANEA CL 20*24 0,20 CRT 24 20,93",Case,87,true,
General Beverage Distributor,Beverage,"04209 GALVANINA TONICA POMP.GIALLO CL 20*24 0,20 CRT 24 20,93",Case,87,true,
General Beverage Distributor,Beverage,"04207 GALVANINA TONICA POMP.ROSA SPE CIAL CL 20*24 0,20 CRT 24 20,93",Case,87,true,
General Beverage Distributor,Beverage,"04252 KINLEY GINGER BEER CL 20 X 24 0,20 CRT 24 14,25",Case,59,true,
General Beverage Distributor,Beverage,"04239 KINLEY LIMONE CL 20 X 24 0,20 CRT 24 14,25",Case,59,true,
General Beverage Distributor,Beverage,"04238 KINLEY TONICA CL 20 X 24 0,20 CRT 24 14,25",Case,59,true,
General Beverage Distributor,Beverage,"04032 LEMONSODA BOT.CL.20*24 0,20 CRT 24 13,50",Case,56,true,
General Beverage Distributor,Beverage,"04134 LURISIA ARANCIATA CL 27,5 X 24 0,28 CRT 24 28,50",Case,119,true,
General Beverage Distributor,Beverage,"04132 LURISIA CHINOTTO CL 27,5 X 24 0,28 CRT 24 28,50",Case,119,true,
General Beverage Distributor,Beverage,"04133 LURISIA GASSOSA CL 27,5 X 24 0,28 CRT 24 28,50",Case,119,true,
General Beverage Distributor,Beverage,"04324 LURISIA LIMONATA CL 27,5 X 24 0,28 CRT 24 28,50",Case,119,true,
General Beverage Distributor,Beverage,"04039 ORANSODA BOT. CL.20*24 0,20 CRT 24 13,50",Case,56,true,
General Beverage Distributor,Beverage,"04172 SAN PELLEG. ACQUA BRILLANTE C L 20X24 0,20 CRT 24 14,85",Case,62,true,
General Beverage Distributor,Beverage,"04170 SAN PELLEG. CEDRATA CL.20X24 0,20 CRT 24 18,00",Case,75,true,
