vendor_name,category,name,unit,price_cents,in_stock,product_code
Plustik Service S.r.l.,Cleaning & Disposables,TOVTONN TOVAGLIA PERSONALIZZATA 90GR USOMANO 60X40 1 PZ,g,17,true,
Plustik Service S.r.l.,Cleaning & Disposables,TOVPERS TOVAGLIETTA PERSONALIZZATA 30X40 1 PZ,Piece,5,true,
Plustik Service S.r.l.,Cleaning & Disposables,50PZ A CF1 CF,Piece,289,true,
Plustik Service S.r.l.,Cleaning & Disposables,750ML A CF1 PZ,ml,275,true,
Plustik Service S.r.l.,Cleaning & Disposables,750ML A CF1 PZ,ml,290,true,
Plustik Service S.r.l.,Cleaning & Disposables,300ML1 PZ,ml,130,true,
Plustik Service S.r.l.,Cleaning & Disposables,10PZ A CF1 CF,Piece,490,true,
Plustik Service S.r.l.,Cleaning & Disposables,0830 MOP COTONE 270GR 1 PZ,g,135,true,
